,Title,Author,Media
45,『黄色い大地』『初恋のきた道』と「改革開放」,松村 茂樹,"コミュニケーション文化論集 : 大妻女子大学コミュニケーション文化学会機関誌 (12), 37-43, 2014-03"
46,Michael Chabon : The Amazing Adventures of Kavalier & Clay : セクシュアリティーの覚醒から初恋の終りまで,三宅 彩萌,"Immaculata (18), 37-45, 2014"
47,川端康成「母の初恋」論 : 「姉の和解」『千羽鶴』に触れて (特集 谷崎・芥川・川端 : 芸術と生活),中嶋 展子,"芸術至上主義文芸 (39), 76-85, 2013-11"
48,アートな時間 映画 ある会社員 : 殺人契約で働く男の初恋 スピード感と繊細さが魅力,寺脇 研,"エコノミスト 91(24), 66, 2013-06-04"
49,テーマ別 連続アンケを専門家が読み解く 女のリアル : 20~60代 167人の「生」と「性」(4)初恋編(下)初恋の相手に会いたい人、会いたくない人、会っている人…,,"サンデー毎日 92(9), 163-165, 2013-03-10"
50,テーマ別 連続アンケを専門家が読み解く 女のリアル : 20~60代 167人の「生」と「性」(3)初恋編(上)年齢問わず「忘れていない」,,"サンデー毎日 92(8), 140-142, 2013-03-03"
51,幼い日々の憧れ : 私の初恋 (特集 男の子・女の子),,"児童心理 67(4), 311-323, 2013-03"
52,中高年ノート 青春回顧だけではない 同窓会 : 生きがい発見から初恋の思い出まで : 地域の高齢者対象の相談窓口を開いたり医療情報の交換など同窓会をきっかけに,,"Themis 22(2), 98-99, 2013-02"
53,<i>Leschenaultia biloba</i>，<i>L. formosa</i>およびそれらの種間雑種の花色とアントシアニン組成について,"立澤 文見,加藤 一幾,永松 義博 [他],庄野 浩資,土岐 健次郎,斎藤 規夫","園芸学研究 12(1), 23-28, 2013"
54,向こうがわの蜂(第35回)初恋の人,池永 陽,"文蔵 86, 274-291, 2012-12"
55,作家金満成について(付 : 小説「少女の初恋」全訳),米井 由美,"中国研究 (20), 27-49, 2012-12"
56,韓流ドラマに見る家父長制下の核家族 : ドラマ『初恋』を手掛かりとして,崔 寶允,"宇都宮大学国際学部研究論集 (34), 119-133, 2012-09"
57,音楽に恋をして 評伝 湯川れい子(Vol.2)Sleepy Lagoon : 女優、ジャズ、初恋 もがき続けた青春時代,和田 靜香,"週刊朝日 117(21), 39-44, 2012-05-18"
58,加工・業務用キャベツにおける作型別大玉収穫可能品種の検索,"渡邉 圭太,小河 毅,斎藤 隆雄","兵庫県立農林水産技術総合センター研究報告. 農業編 -(60), 19-24, 2012-03"
